Datum von,Ort (ausschließlich Dresden),Thema,Teilnehmerzahl Anmeldung
2020-01-01,Wienerplatz,Meinungsfreiheit,30
2020-01-01,Neumarkt,Nationalismus raus den Köpfen,100
2020-01-01,Neumarkt,Alle zusammen gegen den Faschismus,1000
2020-07-04,Neumarkt - Carolapltz,Was wird mit Kitas&Schulen,300
2020-07-06,Wilsdruffer Str.,"Wer schweigt, stimmt zu ",20
2020-07-06,Neumarkt,Nationalismus raus den Köpfen,300
2020-07-06,Neumarkt - Schlossstraße - Neumarkt,Gemeinsam für Bürgerrechte,600
2020-07-06,Alaunplatz - Neumarkt,"Jetzt erst Recht, Rassisten*innen entgegen treten",150
2020-07-12,Neumarkt - Alaunplatz,Black Lives Matter Dresden,1500
2020-07-18,Jorge-Gommondai-Platz,Jugend gegen Rassismus,50
2020-07-19,Friedrich-Wieck-Straße - Carolaplatz - Neumarkt,Final Stadtradeln/(mini) Tour de Blamage Vol. 3,1000
2020-07-20,Neumarkt - Wilsdruffer Straße - Neumarkt,Gemeinsam für Bürgerrechte,600
2020-07-20,Wienerplatz - Kulturpalast,Nazis ankreiden - Dresden kann anders,100
2020-07-20,Wilsdruffer Straße ,"Wer schweigt, stimmt zu ",20
2020-07-20,Neumarkt,Dresden bleibt bunt,30
2020-07-20,Neumarkt,Dresden lebt bunt,100
2020-07-20,Alaunplatz - Neumarkt,"Jetzt erst Recht, Rassisten*innen entgegen treten",150
2020-07-25,Alaunplatz - Altmarkt ,Seebrücke Dresden,200
2020-07-25,Großer Garten,Meditation als stiller Protest mit anschließende Kundegebung als Kritik an der derzeitigen Corona-Politik,200
2020-08-03,Beginn/Ende Neumarkt,Gemeinsam für Bürgerrechte,600
2020-08-03,Alaunplatz - Neumarkt,"Jetzt erst Recht, Rassisten*innen entgegen treten",150
2020-08-08,Neumarkt,Kundgebung als Kritik an der derzeitigen Corona-Politik,200
2020-08-16,"Dresden Neumarkt - Strecke noch bekanntzugeben bis Berlin, Bundestag","Friedensmarsch ""Sicherung der Grundrechte"" Mahatma Gandhi",10 bis 3.000
2020-08-17,Beginn/Ende Neumarkt,Gemeinsam für Bürgerrechte,600
2020-08-17,Alaunplatz - Görlitzer Straße - Louisenstraße - Alaunstraße - Albertplatz - Jorge-Gomondai-Platz - Hauptstraße - Köpckestraße - Carolaplatz - Akademiestraße - Tzschirnerplatz - Salzgasse - An der Fraukirche - Töpferstraße - Augustusstraße - Neumarkt  ,"Jetzt erst Recht, Rassisten*innen entgegen treten. ",150
2020-08-17,Neumarkt,"""Nationalismus raus aus den Köpfen""",250
2020-08-17,Kreuzkirche - Neumarkt - Kreuzstraße - Weiße Gasse - Kleine Kirchgasse -  Neumarkt,Für ein buntes Dresden,50
2020-08-17,"Jüdenhof, Kulturpalast",Dresden lebt bung + Kundgebung Freiheits- u. Demokratiebewegung in der Republik Belarus,100
2020-08-24,Neumarkt,Alle zusammen gegen den Faschismus,1000
2020-08-24,Neumarkt,Nationalismus raus den Köpfen,100
2020-08-24,Wienerplatz,Meinungsfreiheit,30
2020-08-25,Kreuzstraße ,Klimacamp,unbekannt
2020-08-25,Kreuzstraße ,Klimacamp,unbekannt
2020-08-31,Neumarkt,Alle zusammen gegen den Faschismus,1000
2020-08-31,Neumarkt,Nationalismus raus den Köpfen,100
2020-08-31,Wienerplatz,Meinungsfreiheit,30
2020-08-31,Beginn/Ende Neumarkt,Gemeinsam für Bürgerrechte,600
2020-08-31,Neumarkt,Nationalismus raus den Köpfen,250
2020-08-31,Wiener Platz - Prager Straße -  Wilsdruffer Straße - HBF ,Dresden hat's satt! Polizeigewalt bekämpfen - für strukturellen Umbau der Polizei,80
2020-08-31,Alaunplatz - Neumarkt,"Jetzt erst Recht, Rassisten*innen entgegen treten",150
2020-09-04,Görlitzer Straße ,Kundgebung gegen Polizeikonztollen und Polizeigewalt,30
2020-09-05,Schlesischer Platz ,Alle Familien stärken ,50
2020-09-05,Seestraße,Traditionelle Familien schützen! - Familienpolitik ist die beste Sozialpolitik,15
2020-09-05,Wiener Platz,NPD Gegendemonstration,100
2020-09-07,Neumarkt,Alle zusammen gegen den Faschismus,1000
2020-09-07,Neumarkt,Nationalismus raus den Köpfen,100
2020-09-07,Wienerplatz,Meinungsfreiheit,30
2020-09-14,Neumarkt,Gemeinsam für Bürgerrechte,600
2020-09-14,Wiener Platz - Kreuzstraße,"Dresden hat ein Problem, es heißt Pegida!",30
2020-09-14,Neumarkt,Alle zusammen gegen den Faschismus,1000
2020-09-14,Neumarkt,Nationalismus raus den Köpfen,300
2020-09-14,Wienerplatz,Meinungsfreiheit,30
2020-09-14,Alaunplatz - Neumarkt,"Jetzt erst Recht, Rassisten*innen entgegen treten",150
2020-09-15,Archivstraße,"Protest zur Mutterkuhprämie in Sachsen""",15
2020-09-19,Albertplatz,"Zeig Zivilcourage, schreite ein!",50
2020-09-21,Neumarkt,Alle zusammen gegen den Faschismus,1000
2020-09-21,Neumarkt,Nationalismus raus den Köpfen,300
